,5_episodes_mean_rewards,mode,epochs
0,5.4,img,1
1,6.0,img,2
2,5.0,img,3
3,4.8,img,4
4,4.2,img,5
5,4.4,img,6
6,4.0,img,7
7,4.2,img,8
8,4.2,img,9
9,5.6,img,10
10,6.2,img,11
11,5.4,img,12
12,5.4,img,13
13,5.4,img,14
14,5.2,img,15
15,5.6,img,16
16,6.0,img,17
17,5.8,img,18
18,6.2,img,19
19,5.2,img,20
20,3.8,img,21
21,3.2,img,22
22,3.6,img,23
23,3.0,img,24
24,3.4,img,25
25,3.8,img,26
26,4.4,img,27
27,4.4,img,28
28,4.4,img,29
29,4.0,img,30
30,4.0,img,31
31,5.4,img,32
32,4.8,img,33
33,5.0,img,34
34,5.0,img,35
35,4.6,img,36
36,3.6,img,37
37,3.8,img,38
38,3.2,img,39
39,3.6,img,40
40,3.4,img,41
41,2.8,img,42
42,3.8,img,43
43,4.4,img,44
44,4.2,img,45
45,4.6,img,46
46,4.0,img,47
47,3.2,img,48
48,3.8,img,49
49,4.0,img,50
50,4.2,img,51
51,4.6,img,52
52,4.8,img,53
53,4.4,img,54
54,4.4,img,55
55,4.2,img,56
56,5.2,img,57
57,4.8,img,58
58,4.4,img,59
59,5.0,img,60
60,5.2,img,61
61,4.0,img,62
62,5.0,img,63
63,6.6,img,64
64,6.0,img,65
65,6.0,img,66
66,6.0,img,67
67,5.0,img,68
68,3.0,img,69
69,3.6,img,70
70,4.2,img,71
71,4.2,img,72
72,5.0,img,73
73,5.2,img,74
74,5.4,img,75
75,5.2,img,76
76,5.0,img,77
77,4.6,img,78
78,5.4,img,79
79,4.6,img,80
80,4.6,img,81
81,5.0,img,82
82,5.8,img,83
83,4.8,img,84
84,6.0,img,85
85,7.0,img,86
86,8.0,img,87
87,6.6,img,88
88,7.2,img,89
89,7.0,img,90
90,6.0,img,91
91,5.0,img,92
92,5.0,img,93
93,4.2,img,94
94,3.2,img,95
95,2.8,img,96
96,3.0,img,97
97,3.8,img,98
98,5.8,img,99
99,5.6,img,100
0,4.0,ram,1
1,4.8,ram,2
2,5.6,ram,3
3,5.8,ram,4
4,6.2,ram,5
5,6.6,ram,6
6,6.6,ram,7
7,7.0,ram,8
8,6.4,ram,9
9,6.6,ram,10
10,6.2,ram,11
11,5.8,ram,12
12,4.4,ram,13
13,5.2,ram,14
14,5.4,ram,15
15,6.0,ram,16
16,6.2,ram,17
17,7.2,ram,18
18,7.2,ram,19
19,6.2,ram,20
20,6.4,ram,21
21,7.0,ram,22
22,5.4,ram,23
23,4.4,ram,24
24,4.0,ram,25
25,3.8,ram,26
26,2.6,ram,27
27,3.4,ram,28
28,4.2,ram,29
29,5.0,ram,30
30,4.0,ram,31
31,5.6,ram,32
32,6.4,ram,33
33,7.0,ram,34
34,8.8,ram,35
35,9.2,ram,36
36,7.6,ram,37
37,6.6,ram,38
38,5.2,ram,39
39,2.8,ram,40
40,3.8,ram,41
41,4.4,ram,42
42,5.0,ram,43
43,5.2,ram,44
44,5.4,ram,45
45,4.4,ram,46
46,3.8,ram,47
47,3.2,ram,48
48,3.8,ram,49
49,4.6,ram,50
50,4.6,ram,51
51,5.8,ram,52
52,6.0,ram,53
53,5.8,ram,54
54,4.6,ram,55
55,7.0,ram,56
56,7.0,ram,57
57,7.0,ram,58
58,8.2,ram,59
59,8.8,ram,60
60,7.4,ram,61
61,7.4,ram,62
62,8.8,ram,63
63,9.0,ram,64
64,9.0,ram,65
65,8.4,ram,66
66,7.6,ram,67
67,6.6,ram,68
68,4.8,ram,69
69,4.2,ram,70
70,4.0,ram,71
71,4.8,ram,72
72,4.6,ram,73
73,4.8,ram,74
74,5.0,ram,75
75,5.4,ram,76
76,3.8,ram,77
77,3.2,ram,78
78,4.8,ram,79
79,4.6,ram,80
80,3.8,ram,81
81,4.8,ram,82
82,5.8,ram,83
83,3.8,ram,84
84,3.8,ram,85
85,4.0,ram,86
86,4.0,ram,87
