,image_game_rewards,ram_game_rewards,mix_game_rewards,Episode
0,7.0,2.0,1.0,0
1,8.0,5.0,7.0,1
2,5.0,4.0,8.0,2
3,4.0,6.0,2.0,3
4,3.0,3.0,2.0,4
5,10.0,6.0,12.0,5
6,3.0,9.0,4.0,6
7,4.0,5.0,6.0,7
8,1.0,8.0,11.0,8
9,4.0,5.0,2.0,9
10,8.0,6.0,4.0,10
11,4.0,11.0,5.0,11
12,4.0,2.0,6.0,12
13,8.0,9.0,3.0,13
14,7.0,3.0,3.0,14
15,4.0,4.0,1.0,15
16,4.0,4.0,3.0,16
17,4.0,6.0,7.0,17
18,7.0,10.0,3.0,18
19,9.0,6.0,2.0,19
20,6.0,5.0,11.0,20
21,3.0,9.0,6.0,21
22,6.0,6.0,6.0,22
23,2.0,5.0,11.0,23
24,2.0,7.0,9.0,24
25,3.0,8.0,5.0,25
26,5.0,1.0,2.0,26
27,3.0,1.0,5.0,27
28,4.0,3.0,13.0,28
29,4.0,6.0,5.0,29
30,6.0,2.0,3.0,30
31,5.0,5.0,11.0,31
32,3.0,5.0,3.0,32
33,2.0,7.0,5.0,33
34,4.0,1.0,3.0,34
35,13.0,10.0,7.0,35
36,2.0,9.0,8.0,36
37,4.0,8.0,6.0,37
38,2.0,16.0,1.0,38
39,2.0,3.0,10.0,39
40,8.0,2.0,5.0,40
41,3.0,4.0,4.0,41
42,1.0,1.0,5.0,42
43,4.0,4.0,7.0,43
44,1.0,8.0,2.0,44
45,5.0,5.0,8.0,45
46,8.0,7.0,5.0,46
47,4.0,2.0,5.0,47
48,3.0,5.0,3.0,48
49,3.0,3.0,4.0,49
50,2.0,2.0,4.0,50
51,4.0,4.0,8.0,51
52,7.0,5.0,7.0,52
53,4.0,9.0,5.0,53
54,4.0,3.0,5.0,54
55,4.0,8.0,3.0,55
56,5.0,5.0,2.0,56
57,5.0,4.0,1.0,57
58,4.0,3.0,3.0,58
59,3.0,15.0,5.0,59
60,9.0,8.0,5.0,60
61,3.0,5.0,2.0,61
62,3.0,10.0,5.0,62
63,7.0,6.0,6.0,63
64,4.0,8.0,7.0,64
65,3.0,8.0,7.0,65
66,8.0,12.0,3.0,66
67,11.0,11.0,1.0,67
68,4.0,6.0,5.0,68
69,4.0,5.0,6.0,69
70,3.0,4.0,4.0,70
71,3.0,7.0,7.0,71
72,1.0,2.0,7.0,72
73,7.0,3.0,6.0,73
74,7.0,4.0,2.0,74
75,3.0,8.0,6.0,75
76,7.0,6.0,11.0,76
77,2.0,3.0,5.0,77
78,8.0,4.0,5.0,78
79,6.0,6.0,2.0,79
80,2.0,0.0,2.0,80
81,5.0,3.0,2.0,81
82,6.0,11.0,4.0,82
83,4.0,3.0,3.0,83
84,6.0,2.0,14.0,84
85,4.0,5.0,7.0,85
86,9.0,8.0,8.0,86
87,1.0,1.0,3.0,87
88,10.0,3.0,6.0,88
89,11.0,3.0,6.0,89
90,9.0,5.0,5.0,90
91,2.0,3.0,5.0,91
92,4.0,5.0,7.0,92
93,9.0,3.0,7.0,93
94,6.0,4.0,4.0,94
95,4.0,2.0,18.0,95
96,2.0,10.0,0.0,96
97,0.0,2.0,1.0,97
